,Player,Pos,FantasyPts,Att,Cmp,Yds,PassTD,Int,2Pt,RushAtt,RushYds,RushTDs,2Pt.1,Rec,RecYds,RecTD,2Pt.2,FL,TD,CalcFantasyPoints,FantasyVariance,Name
0,"Aaron Rodgers, GB",QB,449,610,401,"4,428",40,7,1,67,369,4,1,0,0,0,0,4,0,441.88,1.0161129718475603,"rodgers, aaron"
1,"Matt Ryan, Atl",QB,412,534,373,"4,944",38,7,1,35,117,0,1,0,0,0,0,2,0,416.44,0.9893381999807895,"ryan, matt"
2,"Drew Brees, NO",QB,401,673,471,"5,208",37,15,0,23,20,2,0,0,0,0,0,4,0,413.12,0.9706622773044151,"brees, drew"
3,"Andrew Luck, Ind",QB,364,545,346,"4,240",31,13,2,64,341,2,0,0,0,0,0,5,0,355.24,1.0246593852043688,"luck, andrew"
4,"Kirk Cousins, Was",QB,343,606,406,"4,917",25,12,0,34,96,4,0,0,0,0,0,3,0,350.52,0.9785461599908708,"cousins, kirk"
5,"Philip Rivers, SD",QB,321,578,349,"4,386",33,21,0,14,35,0,0,0,0,0,0,5,0,332.84,0.964427352481673,"rivers, philip"
6,"Dak Prescott, Dal",QB,321,459,311,"3,667",23,4,0,57,282,6,0,0,0,0,0,4,0,323.96,0.990863069514755,"prescott, dak"
7,"Matthew Stafford, Det",QB,317,594,388,"4,327",24,10,1,37,207,2,0,0,0,0,0,2,0,317.36,0.9988656415427275,"stafford, matthew"
8,"Derek Carr, Oak",QB,316,560,357,"3,937",28,6,5,39,70,0,0,0,0,0,0,3,0,317.08,0.9965939195155797,"carr, derek"
9,"Blake Bortles, Jax",QB,311,625,368,"3,905",23,16,1,58,359,3,1,1,20,1,0,6,0,300.56,1.0347351610327389,"bortles, blake"
10,"Tom Brady, NE",QB,307,432,291,"3,554",28,2,1,28,64,0,0,0,0,0,0,0,0,308.72,0.9944286084477844,"brady, tom"
11,"Ben Roethlisberger, Pit",QB,306,509,328,"3,819",29,13,3,16,14,1,0,0,0,0,0,2,0,307.32,0.9957048028114018,"roethlisberger, ben"
12,"Jameis Winston, TB",QB,305,567,345,"4,090",28,18,3,53,165,1,0,0,0,0,0,6,0,308.2,0.9896171317326412,"winston, jameis"
13,"Marcus Mariota, Ten",QB,304,451,276,"3,426",26,9,0,60,349,2,0,0,0,0,0,5,0,301.56,1.0080912587876376,"mariota, marcus"
14,"Russell Wilson, Sea",QB,300,546,353,"4,219",21,11,1,72,259,1,0,2,14,1,0,2,0,295.12,1.0165356465166713,"wilson, russell"
15,"Tyrod Taylor, Buf",QB,290,436,269,"3,023",17,6,1,95,580,6,1,0,0,0,0,2,0,270.12,1.0735969198874573,"taylor, tyrod"
16,"Carson Palmer, Ari",QB,290,597,364,"4,233",26,14,1,14,38,0,0,0,0,0,0,4,0,298.84,0.9704189532860394,"palmer, carson"
17,"Andy Dalton, Cin",QB,289,563,364,"4,206",18,8,0,46,184,4,0,0,0,0,0,3,0,291.6,0.9910836762688614,"dalton, andy"
18,"Cam Newton, Car",QB,281,510,270,"3,509",19,14,1,90,359,5,1,0,0,0,0,2,0,270.72,1.0379728132387707,"newton, cam"
19,"Eli Manning, NYG",QB,274,598,377,"4,027",26,16,0,21,-9,0,0,0,0,0,0,4,0,284.72,0.9623489744310199,"manning, eli"
20,"Joe Flacco, Bal",QB,274,672,436,"4,317",20,15,4,21,58,2,0,0,0,0,0,3,0,277.2,0.9884559884559885,"flacco, joe"
21,"Sam Bradford, Min",QB,255,552,395,"3,877",20,5,0,20,53,0,0,1,5,0,0,5,0,267.32,0.9539129133622625,"bradford, sam"
22,"Alex Smith, KC",QB,246,489,328,"3,502",15,8,2,48,134,5,0,1,3,0,0,4,0,249.72,0.9851033157135992,"smith, alex"
23,"Carson Wentz, Phi",QB,237,607,379,"3,782",16,14,1,46,150,2,1,1,7,0,0,3,0,237.28,0.99881995954147,"wentz, carson"
24,"Colin Kaepernick, SF",QB,226,331,196,"2,241",16,4,0,69,468,2,1,0,0,0,0,3,0,208.36,1.0846611633710885,"kaepernick, colin"
25,"Trevor Siemian, Den",QB,223,486,289,"3,401",18,10,1,28,57,0,0,0,0,0,0,2,0,226.32,0.9853305054789678,"siemian, trevor"
26,"Ryan Tannehill, Mia",QB,221,389,261,"2,995",19,12,1,39,164,1,0,0,0,0,0,3,0,221.8,0.9963931469792605,"tannehill, ryan"
27,"Brock Osweiler, Hou",QB,190,510,301,"2,957",15,16,0,30,131,2,0,1,-14,0,0,1,0,193.52,0.9818106655642828,"osweiler, brock"
28,"Ryan Fitzpatrick, NYJ",QB,147,403,228,"2,710",12,17,0,33,130,0,0,0,0,0,0,1,0,151.6,0.9696569920844328,"fitzpatrick, ryan"
29,"Case Keenum, LA",QB,122,322,196,"2,201",9,11,0,20,51,1,0,0,0,0,0,1,0,128.08,0.9525296689569018,"keenum, case"
30,"Brian Hoyer, Chi",QB,90,200,134,"1,445",6,0,0,7,-2,0,0,0,0,0,0,1,0,93.72,0.9603072983354674,"hoyer, brian"
31,"Cody Kessler, Cle",QB,85,195,128,"1,380",6,2,1,11,18,0,0,0,0,0,0,1,0,88.0,0.9659090909090909,"kessler, cody"
32,"Matt Barkley, Chi",QB,85,216,129,"1,611",8,14,0,7,2,0,0,1,2,1,0,2,0,89.88,0.9457053849577215,"barkley, matt"
33,"Blaine Gabbert, SF",QB,79,160,91,925,5,6,0,40,173,2,0,1,-16,0,0,0,0,73.92,1.0687229437229437,"gabbert, blaine"
34,"Matt Moore, Mia",QB,69,87,55,721,8,3,0,1,-1,0,0,0,0,0,0,0,0,70.8,0.9745762711864407,"moore, matt"
35,"Robert Griffin III, Cle",QB,67,147,87,886,2,3,0,31,190,2,0,0,0,0,0,1,0,61.04,1.0976408912188729,griffin robert
36,"Josh McCown, Cle",QB,65,165,90,"1,100",6,6,1,7,21,0,0,0,0,0,0,4,0,68.84,0.9442184776292852,"mccown, josh"
37,"Jared Goff, LA",QB,61,205,112,"1,089",5,7,0,8,16,1,0,0,0,0,0,2,0,66.2,0.9214501510574018,"goff, jared"
38,"Jay Cutler, Chi",QB,54,137,81,"1,059",4,5,0,5,24,0,0,0,0,0,0,2,0,57.44,0.9401114206128134,"cutler, jay"
39,"Jimmy Garoppolo, NE",QB,43,63,43,502,4,0,0,10,6,0,0,1,3,0,0,1,0,44.32,0.970216606498195,"garoppolo, jimmy"
40,"Landry Jones, Pit",QB,42,86,53,558,4,2,0,6,-4,0,0,0,0,0,0,0,0,42.16,0.9962049335863379,"jones, landry"
41,"Bryce Petty, NYJ",QB,36,133,75,809,3,7,0,5,19,0,1,0,0,0,0,1,0,37.12,0.9698275862068966,"petty, bryce"
42,"Nick Foles, KC",QB,33,55,36,410,3,0,0,4,-4,0,0,0,0,0,0,0,0,34.24,0.9637850467289719,"foles, nick"
43,"Paxton Lynch, Den",QB,30,83,49,497,2,1,0,11,25,0,0,0,0,0,0,0,0,30.88,0.9715025906735751,"lynch, paxton"
44,"Jacoby Brissett, NE",QB,27,55,34,400,0,0,0,16,83,1,0,0,0,0,0,1,0,25.32,1.066350710900474,"brissett, jacoby"
45,"Derek Anderson, Car",QB,20,53,36,453,2,5,1,1,4,0,0,0,0,0,0,1,0,20.28,0.9861932938856015,"anderson, derek"
46,"Tom Savage, Hou",QB,18,73,46,461,0,0,0,6,12,0,0,0,0,0,0,1,0,18.92,0.9513742071881606,"savage, tom"
47,"Matt Cassel, Ten",QB,18,51,30,284,2,2,0,4,3,0,0,0,0,0,0,0,0,19.48,0.9240246406570841,"cassel, matt"
48,"Kevin Hogan, Cle",QB,16,26,14,104,0,2,0,8,105,1,0,0,0,0,0,0,0,10.36,1.5444015444015444,"hogan, kevin"
49,"Charlie Whitehurst, Cle",QB,11,24,14,182,1,1,0,2,1,0,0,0,0,0,0,0,0,11.32,0.9717314487632509,"whitehurst, charlie"
50,"Drew Stanton, Ari",QB,11,48,19,192,2,3,0,3,-3,0,0,0,0,0,0,0,0,13.56,0.8112094395280236,"stanton, drew"
51,"Mike Glennon, TB",QB,11,11,10,75,1,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1.2222222222222223,"glennon, mike"
52,"Scott Tolzien, Ind",QB,10,37,23,216,1,2,0,6,3,0,0,0,0,0,0,0,0,10.76,0.929368029739777,"tolzien, scott"
53,"Shaun Hill, Min",QB,9,35,19,242,0,0,0,5,5,0,0,0,0,0,0,0,0,9.88,0.9109311740890688,"hill, shaun"
54,"Connor Cook, Oak",QB,9,21,14,150,1,1,0,0,0,0,0,0,0,0,0,1,0,10.0,0.9,"cook, connor"
55,"Geno Smith, NYJ",QB,8,14,8,126,1,1,0,2,9,0,0,0,0,0,0,0,0,9.4,0.851063829787234,"smith, geno"
56,"Trevone Boykin, Sea",QB,8,18,13,145,1,1,0,8,1,0,0,0,0,0,0,0,0,9.84,0.8130081300813008,"boykin, trevone"
