Player,Pos,FantasyPts,Att,Cmp,Yds,PassTD,Int,2Pt,RushAtt,RushYds,RushTDs,2Pt,Rec,RecYds,RecTD,2Pt,FL,TD,CalcFantasyPoints
"Aaron Rodgers, GB",QB,449,610,401,"4,428",40,7,1,67,369,4,1,0,0,0,0,4,0,441.88
"Matt Ryan, Atl",QB,412,534,373,"4,944",38,7,1,35,117,0,1,0,0,0,0,2,0,416.44
"Drew Brees, NO",QB,401,673,471,"5,208",37,15,0,23,20,2,0,0,0,0,0,4,0,413.12
"Andrew Luck, Ind",QB,364,545,346,"4,240",31,13,2,64,341,2,0,0,0,0,0,5,0,355.24
"Kirk Cousins, Was",QB,343,606,406,"4,917",25,12,0,34,96,4,0,0,0,0,0,3,0,350.52
"Philip Rivers, SD",QB,321,578,349,"4,386",33,21,0,14,35,0,0,0,0,0,0,5,0,332.84
"Dak Prescott, Dal",QB,321,459,311,"3,667",23,4,0,57,282,6,0,0,0,0,0,4,0,323.96
"Matthew Stafford, Det",QB,317,594,388,"4,327",24,10,1,37,207,2,0,0,0,0,0,2,0,317.36
"Derek Carr, Oak",QB,316,560,357,"3,937",28,6,5,39,70,0,0,0,0,0,0,3,0,317.08
"Blake Bortles, Jax",QB,311,625,368,"3,905",23,16,1,58,359,3,1,1,20,1,0,6,0,300.56
"Tom Brady, NE",QB,307,432,291,"3,554",28,2,1,28,64,0,0,0,0,0,0,0,0,308.72
"Ben Roethlisberger, Pit",QB,306,509,328,"3,819",29,13,3,16,14,1,0,0,0,0,0,2,0,307.32
"Jameis Winston, TB",QB,305,567,345,"4,090",28,18,3,53,165,1,0,0,0,0,0,6,0,308.2
"Marcus Mariota, Ten",QB,304,451,276,"3,426",26,9,0,60,349,2,0,0,0,0,0,5,0,301.56
"Russell Wilson, Sea",QB,300,546,353,"4,219",21,11,1,72,259,1,0,2,14,1,0,2,0,295.12
"Tyrod Taylor, Buf",QB,290,436,269,"3,023",17,6,1,95,580,6,1,0,0,0,0,2,0,270.12
"Carson Palmer, Ari",QB,290,597,364,"4,233",26,14,1,14,38,0,0,0,0,0,0,4,0,298.84
"Andy Dalton, Cin",QB,289,563,364,"4,206",18,8,0,46,184,4,0,0,0,0,0,3,0,291.6
